"source_table","row_name","item_id","sample_name","item_type","inventory_category","server_bucket","rarity","slot","stackable","stack_max","value","current_index","server_propid"
"DT_Accessory","Necklace01","Necklace01","INVTEXT(""The Necklace of the ancient prophet"")","Accessories","Accessories","equip","Legendary","Neck","False","1","130","0","800100102"
"DT_Accessory","Talisman01","Necklace02_Blue","INVTEXT(""The Azure Curse Skull Talisman"")","Accessories","Accessories","equip","Epic","Talisman","False","1","90","0","800100103"
"DT_Accessory","Bracelet01","Necklace02_Red","INVTEXT(""The Leaf Bracelet of will"")","Accessories","Accessories","equip","Superior","Bracelet","False","1","45","0","800100101"
"DT_Accessory","Ring01","Necklace02_Red","INVTEXT(""The Aqua Ring of Blessing"")","Accessories","Accessories","equip","Superior","Ring","False","1","45","0","800100101"
"DT_Armor","Bracelet01","ek_brace_01","INVTEXT(""Bracelet of Elder King"")","Accessories","Accessories","equip","Legendary","Bracelet","False","1","45","0","800100104"
"DT_Armor","Necklace01","ek_neck_01","INVTEXT(""Necklace of Elder King"")","Accessories","Accessories","equip","Legendary","Neck","False","1","130","0","800100110"
"DT_Armor","Ring01","ek_ring_01","INVTEXT(""Ring of Elder King"")","Accessories","Accessories","equip","Legendary","Ring","False","1","45","0","800100111"
"DT_Armor","Talisman01","ek_talis_01","INVTEXT(""Talisman of Elder King"")","Accessories","Accessories","equip","Legendary","Talisman","False","1","90","0","800100112"
"DT_Armor","FS_Boots","fs_b","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""EDC109144CD8E99847B1A1BE6AD08129"", ""Boots of Fire King"")","Armor","Armor","equip","Epic","Boots","False","1","70","0","800100105"
"DT_Armor","FS_Gloves","fs_g","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""84DA63AE402F0C5615FEC7973C030F36"", ""Gloves of Fire King"")","Armor","Armor","equip","Epic","Gloves","False","1","55","0","800100106"
"DT_Armor","FS_Helm","fs_hm","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""55A8244A406B280AB7522E8859099AF8"", ""Helm of Fire King"")","Armor","Armor","equip","Epic","Head","False","1","135","0","800100107"
"DT_Armor","FS_Plate","fs_p","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""6FA831F74C560A4477A6B5A81A2A2D36"", ""Plate of Fire King"")","Armor","Armor","equip","Epic","Chestplate","False","1","160","0","800100109"
"DT_Armor","FS_Pants","fs_pt","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""6096C52C4335285D4689D6A57A9F6E64"", ""Pants of Fire King"")","Armor","Armor","equip","Epic","Legs","False","1","75","0","800100108"
"DT_Armor","WS_Boots","ws_bt","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""54309E6445A1104E87F0BABFDFA50FAD"", ""Boots of Water King"")","Armor","Armor","equip","Legendary","Boots","False","1","115","0","800100113"
"DT_Armor","WS_Gloves","ws_gs","NSLOCTEXT(""[47FBC71D4C96438BD8738198C101CB50]"", ""BD5AAC7549A6BA704245FFBB76C1F032"", ""Gloves of Water King"")","Armor","Armor","equip","Legendary","Gloves","False","1","115","0","800100114"
